symbol,price,day_change_pct,avg_entry_return,median_entry_return,best_entry_return,worst_entry_return,pct_profitable_entries,entry_days,roll3m_avg,roll3m_median,roll3m_best,roll3m_worst,roll3m_pos_pct,roll3m_windows,high_52w,low_52w,as_of
ADSL,113.91,-0.48,-3.04,-5.06,30.68,-18.65,22.2,126,5.12,2.12,46.42,-32.36,59.0,83.0,147.8,86.27,2026-07-31
KNRCON,120.16,-0.94,-6.55,-6.09,9.62,-23.43,13.5,126,-2.18,-2.44,22.42,-26.98,42.2,83.0,161.0,108.65,2026-07-31
PARKHOTELS,121.04,-0.49,0.65,-0.5,25.51,-8.71,47.6,126,1.96,0.86,24.38,-18.31,51.8,83.0,136.35,95.1,2026-07-31
SARLAPOLY,97.84,-1.34,10.53,7.28,43.18,-6.83,82.5,126,16.37,17.43,40.84,-13.15,94.0,83.0,105.96,67.08,2026-07-31
KNAGRI,204.88,-2.23,7.43,6.75,36.41,-9.31,72.0,125,10.45,11.31,32.47,-11.96,82.9,82.0,233.9,148.3,2026-07-31
OFSS,11136.0,-2.55,34.06,21.45,81.77,-5.39,91.3,126,38.05,47.02,71.07,-8.6,92.8,83.0,11979.0,6060.86,2026-07-31
HDFCAMC,2546.3,0.17,-1.35,-3.45,17.4,-9.14,34.1,126,4.6,3.34,22.33,-10.56,63.9,83.0,2839.4,2158.39,2026-07-31
GULFOILLUB,1054.3,-0.6,5.96,5.9,21.16,-9.54,74.6,126,-3.07,-8.09,22.92,-24.38,38.6,83.0,1173.63,865.0,2026-07-31
BAJAJCON,538.1,0.3,17.87,13.98,66.93,-19.72,61.1,126,48.73,48.48,89.74,11.85,100.0,83.0,692.0,309.0,2026-07-31
TORNTPOWER,1423.5,-0.53,-2.76,-1.25,9.39,-19.41,34.1,126,4.13,0.12,40.94,-18.48,50.6,83.0,1817.8,1279.46,2026-07-31
NELCO,929.75,-0.47,33.86,37.07,83.98,-3.39,92.9,126,22.57,17.1,83.99,-15.34,89.2,83.0,993.8,499.37,2026-07-31
BALRAMCHIN,596.3,-1.65,16.43,13.84,45.65,-4.55,91.3,126,16.3,15.91,36.14,3.37,100.0,83.0,641.95,404.0,2026-07-31
SAATVIKGL,431.1,-1.58,0.87,-3.04,29.21,-11.6,38.9,126,15.12,13.99,37.91,-8.96,83.1,83.0,502.8,328.0,2026-07-31
EMSLIMITED,383.55,-3.17,14.36,14.62,48.81,-16.28,77.8,126,12.33,8.22,58.63,-32.12,75.9,83.0,464.7,256.05,2026-07-31
RPOWER,23.33,-0.98,-9.35,-12.38,14.59,-22.88,16.7,126,1.3,1.27,27.41,-35.01,60.2,83.0,31.9,20.17,2026-07-31
RECLTD,370.65,0.17,7.29,6.83,22.88,-2.2,95.2,126,1.68,-0.27,19.62,-12.14,49.4,83.0,383.06,300.6,2026-07-31
FLAIR,255.3,0.08,-13.46,-15.49,3.97,-24.37,5.6,126,-5.52,-5.62,11.07,-25.36,31.3,83.0,345.0,242.9,2026-07-31
MEDANTA,1416.4,-1.15,20.81,20.9,47.37,-1.15,99.2,125,13.3,10.94,36.7,-16.53,87.8,82.0,1438.0,956.0,2026-07-31
INDOSTAR,260.55,-5.15,16.55,16.24,42.76,-5.15,89.7,126,10.04,9.33,41.6,-20.44,61.4,83.0,292.0,179.03,2026-07-31
VENTIVE,632.15,-0.46,-2.5,-0.32,15.17,-18.87,46.0,126,-7.0,-9.47,14.56,-25.65,33.7,83.0,793.95,542.6,2026-07-31
PRAJIND,309.0,-0.37,-8.99,-9.71,10.75,-25.63,16.7,126,13.44,10.98,47.16,-24.33,88.0,83.0,427.65,275.4,2026-07-31
NESCO,1080.5,-0.73,-4.0,-3.26,7.24,-17.07,28.0,125,2.07,3.57,15.38,-16.58,68.3,82.0,1315.43,989.63,2026-07-31
